,CPU Model,Manufacturer,Socket,Core,Power,Clock Frequency,Cache Size,Score (CPU Mark),Price,,,,,,,,,,,,,,,,,
1,Core i5-12600K,Intel,LGA1700,10,150,3.7,20,27626 ,180.97,,,,,,,,,,,,,,,,,
2,Core i5-14600K,Intel,LGA1700,14,125,3.5,24,38633 ,164,,,,,,,,,,,,,,,,,
3,Core i5-13600KF,Intel,LGA1700,14,125,3.5,24,37527 ,189.99,,,,,,,,,,,,,,,,,
4,Core i5-12400F,Intel,LGA1700,6,65,2.5,18,19471 ,108.99,,,,,,,,,,,,,,,,,
5,Core i7-14700K,Intel,LGA1700,20,125,3.4,33,52629 ,303.61,,,,,,,,,,,,,,,,,
6,Core i5-14600KF,Intel,LGA1700,14,125,3.5,24,38854 ,202.6,,,,,,,,,,,,,,,,,
7,Core i7-13700KF,Intel,LGA1700,16,125,3.4,30,46297 ,299,,,,,,,,,,,,,,,,,
8,Ryzen 7 7800X3D,AMD,AM5,8,120,4.2,96,34238 ,381.99,,,,,,,,,,,,,,,,,
9,Core i5-13600K,Intel,LGA1700,14,125,3.5,24,37527 ,189.99,,,,,,,,,,,,,,,,,
10,Ryzen 5 3600,AMD,AM4,6,65,3.6,32,17708 ,78.59,,,,,,,,,,,,,,,,,
11,Ryzen 5 5600X,AMD,AM4,6,65,3.7,32,21861 ,135,,,,,,,,,,,,,,,,,
12,Core i5-12600KF,Intel,LGA1700,10,125,3.7,20,27840 ,146.4,,,,,,,,,,,,,,,,,
13,Core i3-12100F,Intel,LGA1700,4,58,3.3,12,14037 ,69.54,,,,,,,,,,,,,,,,,
14,Core i3-13100F,Intel,LGA1700,4,58,3.4,12,14688 ,82.92,,,,,,,,,,,,,,,,,
15,Core i7-9700K,Intel,LGA1700,8,95,3.6,12,14420 ,249,,,,,,,,,,,,,,,,,
16,Core i7-11700K,Intel,LGA1200,8,125,3.6,16,24428 ,293.93,,,,,,,,,,,,,,,,,
17,Core i7-13700K,Intel,LGA1700,16,125,3.4,30,46006 ,311,,,,,,,,,,,,,,,,,
18,Core i5-12400,Intel,LGA1700,6,65,2.5,18,19101 ,192,,,,,,,,,,,,,,,,,
